,artist name,mins_played,genres
4492,"Slaughter Beach, Dog",13484.845166666666,"['alternative emo', 'bubblegrunge', 'emo', 'lo-fi emo', 'pov: indie', 'small room']"
1122,Cuco,6231.511933333333,"['bedroom pop', 'dream pop']"
1126,Current Joys,3011.7305833333335,"['lo-fi indie', 'pov: indie']"
5294,Troye Sivan,2617.128366666667,"['australian pop', 'pop', 'viral pop']"
2764,King Princess,2522.8607166666666,"['alt z', 'indie pop', 'nyc pop']"
992,Cigarettes After Sex,2206.6637,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']"
3937,Pinegrove,2181.540233333333,"['countrygaze', 'new jersey indie', 'small room']"
3245,Matt Maltese,1715.9964833333333,"['indie anthem-folk', 'indie pop', 'pov: indie']"
899,Chance the Rapper,1631.4634833333332,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap', 'trap']"
2505,John Mayer,1586.52365,"['neo mellow', 'singer-songwriter']"
4142,Rex Orange County,1581.1381833333332,['bedroom pop']
3978,Post Malone,1571.8321,"['dfw rap', 'melodic rap', 'pop', 'rap']"
2105,Hippo Campus,1524.5897166666666,"['minneapolis indie', 'modern rock', 'pov: indie']"
1801,Frédéric Chopin,1496.3738166666667,"['classical', 'early romantic era', 'polish classical']"
3435,Modern Baseball,1444.0983333333334,"['alternative emo', 'emo', 'philly indie', 'pov: indie']"
5142,The Weeknd,1442.7537166666666,"['canadian contemporary r&b', 'canadian pop', 'pop']"
2713,Kendrick Lamar,1381.8984333333333,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
1758,Frank Ocean,1267.9438166666666,"['lgbtq+ hip hop', 'neo soul']"
5137,The Walters,1234.3592666666666,"['chicago indie', 'pov: indie']"
4324,Sam Smith,1216.3829,"['pop', 'uk pop']"
5385,Verzache,1210.5490666666667,['sad lo-fi']
4807,The 1975,1168.2789333333333,"['modern alternative rock', 'modern rock', 'pop', 'pov: indie', 'rock']"
2277,Jack Johnson,1166.0727833333333,['neo mellow']
2252,J. Cole,1102.6124833333333,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
5685,boy pablo,1098.02215,"['bedroom pop', 'bergen indie', 'norwegian indie', 'pov: indie']"
1378,Dominic Fike,1075.4293166666666,"['alternative pop rock', 'pov: indie']"
3709,Oh Wonder,1039.6535166666667,"['electropop', 'indie poptimism', 'pov: indie']"
3695,Oberhofer,1021.4737,['brooklyn indie']
