,Unnamed: 0,level_0,index,track name,artist name,album name,uri,total_mins,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
0,21360,21360,16328,Soon or Never,Punch Brothers,Who's Feeling Young Now?,spotify:track:04gmJvY5T9duH3eFXwPxV7,140.0158,0.545,0.28,2.0,-9.302,1.0,0.0313,0.788,8.78e-05,0.0703,0.188,116.109,audio_features,04gmJvY5T9duH3eFXwPxV7,https://api.spotify.com/v1/tracks/04gmJvY5T9duH3eFXwPxV7,https://api.spotify.com/v1/audio-analysis/04gmJvY5T9duH3eFXwPxV7,285000.0,4.0
1,21361,21361,3797,Corduroy Dreams,Rex Orange County,Bcos U Will Never B Free,spotify:track:02tvc9CFnTyHuSRlGeNv9w,140.27548333333334,0.608,0.305,4.0,-14.037,1.0,0.053,0.653,0.0,0.103,0.222,113.818,audio_features,02tvc9CFnTyHuSRlGeNv9w,https://api.spotify.com/v1/tracks/02tvc9CFnTyHuSRlGeNv9w,https://api.spotify.com/v1/audio-analysis/02tvc9CFnTyHuSRlGeNv9w,206975.0,4.0
2,21362,21362,9971,Last Snowstorm of the Year,Hippo Campus,Last Snowstorm of the Year,spotify:track:4p32IK311NkLVtCwTTBG26,140.61628333333334,0.21,0.403,7.0,-8.589,1.0,0.0363,0.36,0.177,0.104,0.0489,155.725,audio_features,4p32IK311NkLVtCwTTBG26,https://api.spotify.com/v1/tracks/4p32IK311NkLVtCwTTBG26,https://api.spotify.com/v1/audio-analysis/4p32IK311NkLVtCwTTBG26,280232.0,3.0
3,21363,21363,19339,Waiting for You,Verzache,D97,spotify:track:1olz3HctPa2yXmSniaCNLN,140.91473333333334,0.524,0.274,6.0,-13.931,1.0,0.295,0.502,0.257,0.0924,0.342,167.998,audio_features,1olz3HctPa2yXmSniaCNLN,https://api.spotify.com/v1/tracks/1olz3HctPa2yXmSniaCNLN,https://api.spotify.com/v1/audio-analysis/1olz3HctPa2yXmSniaCNLN,230000.0,4.0
4,21364,21364,748,Alabina - Original 1996,Alabina,The Album of Alabina & Los Niños de Sara,spotify:track:4c9PMOg5YtNzU7o8CYTOmb,140.95363333333333,0.636,0.969,4.0,-1.913,0.0,0.0716,0.171,0.0,0.345,0.911,101.835,audio_features,4c9PMOg5YtNzU7o8CYTOmb,https://api.spotify.com/v1/tracks/4c9PMOg5YtNzU7o8CYTOmb,https://api.spotify.com/v1/audio-analysis/4c9PMOg5YtNzU7o8CYTOmb,225667.0,4.0
5,21365,21365,18840,Two Weeks in July,Franz Gordon,In a Bar in Buenos Aires,spotify:track:6r4GdCbJTODZWgLnzehUf6,140.99971666666667,0.343,0.0678,2.0,-20.025,0.0,0.0333,0.982,0.926,0.115,0.276,73.4,audio_features,6r4GdCbJTODZWgLnzehUf6,https://api.spotify.com/v1/tracks/6r4GdCbJTODZWgLnzehUf6,https://api.spotify.com/v1/audio-analysis/6r4GdCbJTODZWgLnzehUf6,209837.0,3.0
6,21366,21366,4361,Deja Vu,J. Cole,4 Your Eyez Only,spotify:track:6I6NX6tjGsxFAsIfGzY9lJ,141.30548333333334,0.657,0.421,9.0,-11.378,1.0,0.412,0.352,0.000218,0.187,0.181,174.063,audio_features,6I6NX6tjGsxFAsIfGzY9lJ,https://api.spotify.com/v1/tracks/6I6NX6tjGsxFAsIfGzY9lJ,https://api.spotify.com/v1/audio-analysis/6I6NX6tjGsxFAsIfGzY9lJ,264747.0,4.0
7,21367,21367,11304,Medicine,Daughter,Wild Youth,spotify:track:1ujiHGg5p9SVrNIV4jumQK,141.3255,0.216,0.301,3.0,-12.464,1.0,0.0294,0.105,0.219,0.563,0.202,79.869,audio_features,1ujiHGg5p9SVrNIV4jumQK,https://api.spotify.com/v1/tracks/1ujiHGg5p9SVrNIV4jumQK,https://api.spotify.com/v1/audio-analysis/1ujiHGg5p9SVrNIV4jumQK,258973.0,5.0
8,21368,21368,20638,Your Cat,"Slaughter Beach, Dog",Motorcycle.jpg,spotify:track:0nKrDJLm94OpQElETtklsh,141.42185,0.626,0.626,0.0,-6.352,1.0,0.0302,0.0128,0.491,0.169,0.697,139.964,audio_features,0nKrDJLm94OpQElETtklsh,https://api.spotify.com/v1/tracks/0nKrDJLm94OpQElETtklsh,https://api.spotify.com/v1/audio-analysis/0nKrDJLm94OpQElETtklsh,198667.0,4.0
9,21369,21369,1490,BLUE,Troye Sivan,Blue Neighbourhood,spotify:track:2pmO8V5TEDZqsrcaxSucpj,142.4877666666667,0.39,0.536,6.0,-7.536,0.0,0.0384,0.593,0.0,0.115,0.212,129.997,audio_features,2pmO8V5TEDZqsrcaxSucpj,https://api.spotify.com/v1/tracks/2pmO8V5TEDZqsrcaxSucpj,https://api.spotify.com/v1/audio-analysis/2pmO8V5TEDZqsrcaxSucpj,211817.0,4.0
